GEO_NAME,0,1
Appalachian Ridge,,13.0
Arbor Hills,,168.0
Bay Creek,,129.0
Berkley Oaks,,36.0
Bram's Addition,,46.0
Brentwood Village,,52.0
Bridge-Lakepoint,,27.0
Burke Heights,,84.0
Burr Oaks,,68.0
Capitol Neighborhoods,,48.0
Capitol View,,70.0
Carpenter-Ridgeway,,263.0
Cherokee Garden Condominium,,22.0
Dudgeon-Monroe,,174.0
University Apartments Assembly,,108.0
East Bluff Homeowners,,4.0
East Buckeye,,162.0
Eken Park,,98.0
Elvehjem,,315.0
Emerson East,,74.0
Faircrest,,100.0
Glen Oak Hills,,84.0
Glendale,,205.0
Greenbush,,57.0
Greentree,,199.0
Hawthorne,,59.0
Heritage Heights Community,,217.0
Highland Manor Home Owners,,34.0
"Hill Farms, University",,263.0
Indian Springs,,118.0
Kennedy Heights,,4.0
Lake Edge,,201.0
Lake View Hill,,148.0
Maple-Prairie,,50.0
Maple Wood Condominium,,2.0
Marbella Condominium,,6.0
Marquette,,117.0
Meadowood,,193.0
Mendota Hills,,32.0
Midvale Heights Community,,337.0
North Lake Mendota,,186.0
Oakbridge Community,,20.0
Oakbridge Condominum,,3.0
Oakwood Village,,16.0
Orchard Ridge,,276.0
Parkwood Hills Community,,189.0
Lerdahl Park,,107.0
Regent,,265.0
Richmond Hill Homeowners,,25.0
Ridgewood,,135.0
Rolling Meadows,,149.0
Sauk Creek,,69.0
Saukborough Property Owners,,6.0
Sheridan Triangle,,22.0
Sherman Terrace,,4.0
Skyview Terrace,,17.0
Spring Harbor,,213.0
Sunset Village Community,,175.0
Tamarack Trails Community Condominium,,27.0
Tenney-Lapham,,98.0
"Highlands Community   Inc., The",,111.0
Truax,,3.0
Vilas,,102.0
Walnut Grove Homeowners,,84.0
Westhaven Trails Homeowners Assoc,,61.0
Westmorland,,167.0
Wexford Crossing Condominium,,4.0
Wexford Village Condominium Owners Assoc,,3.0
Wexford Village Homeowners,,140.0
Crestwood,,54.0
Woodlands Condominium Owners,,7.0
Worthington Park,,31.0
Blackhawk Homeowners,,59.0
Stone Meadows,,91.0
Country Grove,,29.0
Prairie Hills,,176.0
Whitetail Ridge,,21.0
Mayfair Park,,135.0
Junction Ridge,,132.0
Old Middleton Greenway,,48.0
Newbery Heights,,11.0
Glacier Ridge,,39.0
North Star,,118.0
Sprecher East,,248.0
Greystone,,10.0
Summit Woods,,57.0
Leopold,,40.0
VanChaMasShe,,15.0
Majestic Oaks,,29.0
Rocky Bluff,,55.0
Twin Oaks,,7.0
Cardinal Glenn,,56.0
Cherokee Park,,83.0
Dunn's Marsh,,207.0
Sunset Hills,,29.0
Waunona,,109.0
Woodland Hills,,51.0
Monona Bay,,19.0
Secret Places,,26.0
Liberty Place,,19.0
Madison West,,895.0
Sherman,,132.0
Crawford-Marlborough-Nakoma,,237.0
Greater Sandburg,,394.0
Eastmorland Community,,328.0
Schenk-Atwood-Starkweather-Yahara,,221.0
Elderberry,,130.0
Campus Area,,42.0
Birchwood-Oaks,,73.0
Arboretum,,65.0
