GEO_NAME,0,1
Truax,,9.0
Vilas,,114.0
Regent,,318.0
Leopold,,57.0
Sherman,,178.0
Waunona,,128.0
Elvehjem,,454.0
Glendale,,306.0
Hiestand,,272.0
Marbella,,7.0
Bay Creek,,150.0
Blackhawk,,127.0
Burr Oaks,,95.0
Eken Park,,122.0
Faircrest,,122.0
Greenbush,,55.0
Greentree,,236.0
Greystone,,18.0
Hawthorne,,78.0
Highlands,,133.0
Lake Edge,,311.0
Marquette,,122.0
Meadowood,,248.0
Millstone,,5.0
Oakbridge,,3.0
Ridgewood,,242.0
Twin Oaks,,11.0
Woodlands,,8.0
Wyndemere,,1.0
East Bluff,,5.0
Elderberry,,193.0
Maple Wood,,2.0
Monona Bay,,31.0
Nobel Park,,41.0
North Star,,192.0
Sauk Creek,,109.0
Sauk Creek,,11.0
Vera Court,,4.0
Arbor Hills,,188.0
Bluff Acres,,268.0
Eastmorland,,430.0
Rocky Bluff,,56.0
Westmorland,,214.0
Berkley Oaks,,52.0
Capitol View,,113.0
Dunn's Marsh,,73.0
East Buckeye,,247.0
Emerson East,,118.0
Lerdahl Park,,144.0
Madison West,,1006.0
Mayfair Park,,148.0
Summit Woods,,66.0
Sunset Hills,,35.0
VanChaMasShe,,15.0
Walnut Grove,,103.0
Burke Heights,,116.0
Cherokee Park,,116.0
Country Grove,,61.0
Glacier Ridge,,83.0
High Crossing,,419.0
Liberty Place,,40.0
Majestic Oaks,,37.0
Maple-Prairie,,93.0
Mendota Hills,,40.0
Orchard Ridge,,351.0
Parkwood West,,1.0
Prairie Hills,,222.0
Richmond Hill,,39.0
Secret Places,,67.0
Sprecher East,,353.0
Spring Harbor,,243.0
State-Langdon,,7.0
Stone Meadows,,150.0
Tenney-Lapham,,112.0
Cardinal Glenn,,74.0
Dudgeon-Monroe,,180.0
Glen Oak Hills,,95.0
Hawk's Landing,,251.0
Highland Manor,,43.0
Indian Springs,,162.0
Junction Ridge,,116.0
Lake View Hill,,197.0
Parkwood Hills,,183.0
Sunset Village,,199.0
Woodland Hills,,66.0
Bram's Addition,,53.0
Cherokee Garden,,35.0
Kennedy Heights,,4.0
Midvale Heights,,514.0
Newbery Heights,,14.0
Oakwood Village,,15.0
Rolling Meadows,,215.0
Sherman Terrace,,5.0
Sherman Village,,214.0
Skyview Meadows,,59.0
Skyview Terrace,,22.0
Wexford Village,,3.0
Wexford Village,,247.0
Whitetail Ridge,,36.0
Bridge-Lakepoint,,30.0
Greater Sandburg,,292.0
Heritage Heights,,312.0
Moorland-Rimrock,,308.0
Parkwood Village,,2.0
Westhaven Trails,,79.0
Westview Meadows,,1.0
Wexford Crossing,,6.0
Worthington Park,,43.0
Appalachian Ridge,,18.0
Brentwood Village,,73.0
Sheridan Triangle,,27.0
Carpenter-Ridgeway,,412.0
High Point Estates,,87.0
North Lake Mendota,,245.0
Allied Dunn's Marsh,,168.0
Oakbridge Community,,26.0
Capitol Neighborhoods,,56.0
South Campus Property,,6.0
"Hill Farms, University",,341.0
Old Middleton Greenway,,58.0
Stonefield Woods-Ridge,,30.0
Wisconsin Co-op Housing,,59.0
Tamarack Trails Community,,31.0
Wexford Ridge Neighborhood,,6.0
Crawford-Marlborough-Nakoma,,267.0
Schenk-Atwood Revitalization,,145.0
University Apartments Assembly,,133.0
Schenk-Atwood-Starkweather-Yahara,,102.0
